ID,Age,Gender_bin,Race,IRQ_TN,IRQ_TP,IRQ_EN,IRQ_EP,IRQ_TOTAL,BFI_e,time,outDegreeFullQ3,outDegreeFullQ4,outDegreeFullQ5,outDegreeFullQ6,outDegreeFullQ7,outDegreeFullQ8
107,18,1,5,9,17,20,25,71,3.375,0,8,8,8,8,7,7
108,19,1,NA,24,23,23,27,97,4.25,0,1,1,1,2,2,3
109,18,0,5,9,21,20,22,72,2,0,3,3,7,8,6,8
110,19,0,2,15,20,19,18,72,2.75,0,5,3,4,3,2,1
111,19,1,NA,15,23,27,18,83,1.75,0,6,2,8,5,4,5
112,18,1,5,27,27,28,25,107,3.75,0,7,6,6,6,4,4
114,19,0,2,16,17,17,18,68,2.5,0,4,2,5,2,2,3
115,19,1,NA,14,19,22,25,80,4.375,0,5,3,4,6,2,4
116,18,1,4,20,17,24,24,85,3.875,0,2,5,6,3,2,7
117,18,0,NA,10,15,15,20,60,3,0,2,1,2,3,2,5
118,19,0,5,16,21,21,21,79,4,0,7,4,6,6,1,1
119,19,0,4,12,18,19,22,71,2.5,0,7,2,7,7,4,4
120,18,0,NA,21,24,25,23,93,3.375,0,3,2,4,3,2,5
121,18,1,NA,18,19,20,19,76,3.125,0,8,8,8,8,8,8
122,18,0,NA,6,7,18,18,49,2.25,0,1,1,1,4,1,4
123,18,1,5,10,21,16,14,61,2.5,0,3,3,4,4,3,3
124,19,0,NA,16,16,16,16,64,3.125,0,4,3,2,2,1,1
125,18,1,5,14,14,20,20,68,4,0,6,4,4,7,2,4
126,18,1,5,21,24,24,23,92,2.875,0,6,4,4,4,8,5
127,19,1,5,18,25,27,27,97,3.5,0,4,2,4,2,2,2
128,19,1,4,18,22,27,25,92,3.75,0,8,8,8,8,8,8
130,18,0,5,13,15,18,24,70,3.375,0,4,4,4,4,5,3
131,19,1,NA,22,27,27,22,98,3.75,0,6,3,4,2,1,4
132,19,0,2,15,20,19,20,74,2.625,0,8,8,8,8,6,5
133,19,1,2,11,16,18,22,67,2.125,0,2,1,2,5,1,2
134,18,1,2,13,16,20,21,70,2.875,0,1,3,3,3,2,3
136,19,0,4,24,23,28,27,102,3.25,0,5,5,6,5,2,5
137,18,0,6,6,13,17,18,54,1.5,0,1,2,3,3,4,3
138,19,0,5,18,17,18,21,74,3,0,2,1,2,2,2,2
139,19,1,5,20,24,24,24,92,3.625,0,8,8,8,8,8,8
140,18,0,NA,13,21,19,24,77,2.375,0,8,5,6,8,4,6
141,18,1,NA,28,28,27,28,111,2.875,0,8,5,7,6,5,3
142,18,1,2,16,20,21,23,80,3.25,0,3,4,5,5,4,8
143,18,1,2,13,16,20,25,74,3.25,0,2,5,8,5,8,8
145,19,0,NA,5,9,11,16,41,2.375,0,0,1,3,3,2,1
146,18,1,7,14,21,22,25,82,3.5,0,4,6,5,4,5,7
147,19,1,6,14,14,25,16,69,3.5,0,3,5,6,6,4,3
201,18,0,NA,8,16,22,18,64,2,0,0,1,0,2,3,1
202,19,0,NA,18,19,25,26,88,3.5,0,2,6,5,3,3,2
203,18,1,2,17,20,20,13,70,4,0,1,2,4,2,1,1
204,18,1,2,15,12,27,22,76,2.25,0,4,2,4,2,2,4
205,18,1,6,10,18,21,19,68,2.125,0,1,7,8,8,6,8
206,18,0,NA,22,23,27,25,97,3.875,0,8,8,8,8,8,8
207,19,1,4,16,20,24,19,79,2.5,0,1,1,1,6,4,5
208,18,0,5,11,20,26,21,78,3.75,0,8,3,2,5,2,2
209,18,0,5,14,13,21,28,76,4.875,0,3,2,3,4,2,3
210,18,1,NA,15,17,21,23,76,4,0,6,5,4,2,2,2
211,18,1,5,23,28,25,28,104,3.25,0,1,1,3,3,3,6
212,18,0,4,18,21,23,22,84,3,0,1,1,2,1,1,1
213,18,0,6,15,22,23,23,83,2.75,0,1,3,3,3,3,4
214,18,0,5,8,19,24,23,74,4.125,0,3,3,4,2,1,5
215,18,0,6,20,22,23,25,90,3.75,0,2,2,2,2,4,7
216,18,0,4,24,24,25,25,98,3.375,0,8,8,8,8,8,8
217,18,0,2,21,28,26,24,99,3.375,0,6,4,5,7,1,8
218,18,0,2,16,16,22,25,79,3,0,8,6,7,5,6,6
219,18,0,NA,11,14,24,21,70,2.625,0,1,2,3,1,1,2
220,18,0,6,24,23,28,28,103,3.25,0,8,4,5,8,5,5
221,18,1,2,14,21,25,22,82,2.375,0,0,2,3,4,2,2
222,18,1,5,15,18,20,25,78,3.375,0,4,3,8,5,6,8
223,19,NA,5,13,26,16,20,75,4.75,0,2,1,8,6,3,5
224,19,0,5,5,14,26,21,66,2.125,0,1,1,1,2,4,5
225,18,1,2,20,19,28,24,91,3,0,3,3,7,8,8,8
226,18,1,2,26,23,25,25,99,2.625,0,4,4,5,2,3,6
227,18,1,2,5,20,25,16,66,1.125,0,1,2,3,2,1,4
228,18,0,5,25,26,27,28,106,4.625,0,2,3,6,3,1,4
229,19,1,5,21,22,21,25,89,3.75,0,2,2,3,1,1,5
230,18,1,6,18,18,24,24,84,3.125,0,1,1,3,5,3,6
231,18,0,5,10,9,16,20,55,3.875,0,1,3,3,2,4,6
232,18,1,NA,14,24,24,22,84,2.875,0,3,3,3,4,3,6
233,18,1,7,16,19,23,20,78,3.375,0,3,3,5,4,4,1
234,18,1,NA,15,17,26,24,82,3,0,8,8,8,8,8,8
235,18,0,5,18,20,16,18,72,2.375,0,3,5,5,6,5,4
236,18,0,5,11,18,20,20,69,3.25,0,2,5,5,4,2,6
237,18,1,2,11,25,26,25,87,2.375,0,1,1,3,2,1,3
238,18,0,2,18,23,23,28,92,2.75,0,1,1,4,3,2,2
239,18,0,5,5,16,14,19,54,4.625,0,1,1,4,4,1,1
240,18,1,7,12,18,21,24,75,2.875,0,3,4,3,2,1,3
241,18,0,NA,6,15,10,19,50,2.125,0,1,2,3,2,2,4
242,18,1,4,12,20,22,25,79,3.625,0,2,4,5,4,1,1
243,18,0,5,11,24,23,25,83,4.375,0,3,3,6,5,4,6
244,18,1,6,13,23,22,27,85,4.375,0,1,3,5,3,1,1
245,18,1,NA,22,22,28,21,93,3.25,0,1,1,2,1,2,2
246,18,1,2,13,18,20,20,71,3.25,0,2,4,5,4,3,8
301,18,0,7,13,19,24,17,73,1.375,0,2,3,4,4,2,3
302,18,0,5,13,17,19,19,68,2.625,0,8,8,8,8,8,8
303,18,0,2,21,12,23,24,80,3.375,0,3,5,8,5,4,6
304,18,1,6,16,22,21,23,82,3.75,0,5,2,4,4,2,2
305,18,0,4,20,23,24,26,93,2.5,0,3,2,4,4,3,2
306,18,0,NA,11,20,24,23,78,4.875,0,1,3,5,8,2,5
307,18,0,4,11,15,22,27,75,3,0,1,4,3,4,7,5
308,18,1,5,22,27,28,24,101,2.625,0,4,6,6,6,5,7
309,18,0,2,16,22,21,20,79,3.125,0,5,7,6,7,6,8
310,18,1,2,16,17,21,16,70,3.125,0,2,2,2,2,2,4
311,18,1,5,17,16,26,23,82,2.875,0,4,4,5,5,3,4
312,18,0,5,16,22,20,23,81,4.125,0,8,3,5,3,6,6
313,18,1,2,16,16,16,16,64,3.25,0,3,1,5,4,3,4
314,18,0,6,8,21,20,25,74,4.625,0,3,4,8,6,7,8
315,18,1,5,16,24,22,23,85,2.875,0,6,4,8,8,8,8
316,18,0,5,7,11,23,24,65,3.375,0,2,2,3,5,8,8
317,18,1,5,12,15,16,24,67,3,0,2,2,4,4,3,4
318,18,1,NA,24,27,27,17,95,2,0,1,1,1,1,1,2
319,19,1,5,21,22,27,19,89,3.75,0,3,0,2,2,2,1
320,19,0,NA,22,23,27,25,97,4,0,3,3,3,3,1,2
321,18,0,5,21,26,22,22,91,4,0,2,2,4,3,3,6
322,18,0,5,15,14,14,20,63,2.125,0,1,1,1,2,1,3
323,18,1,2,10,13,18,19,60,2.625,0,1,1,1,3,2,2
324,18,0,6,17,21,27,24,89,1.875,0,1,1,1,1,1,4
325,18,0,8,24,22,24,24,94,3,0,4,4,4,4,4,4
326,19,1,7,13,18,21,26,78,3.5,0,1,3,7,8,4,5
327,18,1,5,24,26,26,24,100,3.625,0,1,4,6,6,3,5
328,19,0,7,12,13,13,23,61,2.75,0,2,8,5,7,4,5
329,18,1,NA,18,23,24,25,90,3.25,0,4,6,6,8,3,5
330,19,1,NA,25,27,27,23,102,4.125,0,3,7,6,5,4,7
331,18,0,6,12,27,19,22,80,3.5,0,1,3,7,7,2,7
332,18,0,2,12,16,18,17,63,3.25,0,1,0,5,1,2,2
333,18,1,5,20,24,25,25,94,3.625,0,4,4,6,7,4,8
334,19,1,5,8,8,18,20,54,2.75,0,8,8,8,8,8,8
335,18,0,NA,14,17,18,18,67,2.25,0,0,4,8,8,4,5
336,18,0,5,15,20,20,19,74,2.75,0,2,2,5,4,4,3
337,18,NA,NA,22,24,25,23,94,2.125,0,4,4,5,4,3,6
338,18,0,NA,20,20,25,26,91,3.875,0,8,8,8,8,8,8
339,18,1,NA,22,15,25,27,89,3.625,0,1,1,0,5,1,3
340,18,0,NA,16,21,24,24,85,3.25,0,3,3,8,7,3,5
341,18,0,6,12,19,23,26,80,2.375,0,1,1,1,1,1,2
342,18,0,5,18,17,12,13,60,3.5,0,4,3,3,5,2,3
343,18,1,5,21,17,20,16,74,3.625,0,4,4,5,3,3,3
344,18,0,NA,12,22,25,26,85,5,0,3,3,3,8,1,1
345,18,1,NA,14,22,28,26,90,2.875,0,4,3,5,8,8,8
346,18,1,5,13,25,26,26,90,3.375,0,1,3,3,3,4,7
347,18,0,7,4,10,15,23,52,3.125,0,1,2,6,3,1,4
348,18,1,5,21,24,26,28,99,5,0,4,5,8,8,4,8
349,18,0,2,14,16,18,20,68,2,0,1,3,3,8,2,6
350,18,1,5,20,23,22,24,89,3.875,0,3,4,3,2,3,4
351,18,1,NA,10,15,25,24,74,3.5,0,5,4,4,4,3,4
1,18,0,NA,12,17,22,24,75,1.875,1,5,5,5,5,6,8
2,18,1,5,21,23,21,25,90,2.375,1,1,2,6,4,3,3
3,19,0,5,8,17,18,21,64,3.125,1,8,8,8,8,4,4
4,18,1,NA,25,21,26,25,97,2.875,1,5,4,7,6,4,8
5,19,0,NA,14,17,20,23,74,3.125,1,1,0,1,1,1,1
6,19,0,2,19,19,23,28,89,3.875,1,3,0,1,2,2,2
7,18,1,4,8,20,20,25,73,4.125,1,4,2,4,4,3,4
8,18,1,2,19,18,20,19,76,1.625,1,0,0,0,1,1,0
9,18,1,2,16,16,16,16,64,1.875,1,2,4,5,6,4,6
10,19,0,NA,6,10,15,16,47,2.25,1,4,4,6,8,6,8
11,18,1,NA,21,23,26,26,96,2.5,1,1,3,3,4,1,3
12,19,0,5,17,26,24,22,89,3.25,1,4,5,6,6,5,7
13,18,0,2,17,23,25,24,89,3.375,1,1,7,8,7,5,7
14,18,0,NA,18,18,24,24,84,2.875,1,3,4,4,5,4,8
15,18,1,NA,22,24,25,25,96,4,1,8,4,7,4,4,5
16,18,1,5,9,17,13,22,61,4.25,1,4,4,3,5,1,7
17,18,1,5,16,23,25,24,88,2.625,1,4,4,7,6,5,6
18,19,0,5,14,19,20,24,77,4.125,1,2,3,4,3,3,3
19,19,1,NA,19,20,23,23,85,1.875,1,5,3,8,7,5,6
20,18,1,5,24,25,27,28,104,4,1,4,2,5,4,4,5
21,18,1,NA,13,24,24,23,84,3.5,1,6,5,8,8,2,1
22,18,1,NA,18,21,25,19,83,2.875,1,6,5,5,5,5,6
23,18,1,NA,26,24,27,28,105,4.625,1,3,2,2,3,3,3
24,18,0,2,14,25,21,23,83,3.25,1,1,4,3,4,1,3
25,18,1,6,15,10,25,27,77,3,1,5,8,8,8,6,8
26,18,0,2,22,21,24,27,94,4.125,1,4,7,8,8,8,8
27,18,0,NA,21,23,27,28,99,3.125,1,3,3,6,4,3,7
28,18,1,5,9,14,12,21,56,4.125,1,3,3,7,7,5,5
29,19,1,5,24,23,25,26,98,2.375,1,3,3,6,4,3,6
30,19,0,5,15,19,19,20,73,3.25,1,1,1,1,2,2,1
31,18,1,5,24,23,28,22,97,4.125,1,5,2,4,1,1,4
32,18,1,5,14,20,24,25,83,3,1,0,2,2,2,1,2
33,19,0,5,12,17,18,15,62,2.375,1,0,5,7,5,1,6
34,19,0,6,14,22,17,24,77,4.375,1,2,3,4,3,4,8
35,18,1,5,17,18,26,25,86,5,1,8,8,8,8,8,8
36,18,1,6,22,28,24,25,99,2,1,3,1,2,4,2,1
37,19,0,4,13,24,23,25,85,3.5,1,2,2,3,4,2,4
38,18,0,5,10,21,26,23,80,2.625,1,2,2,3,3,3,3
39,18,1,2,14,19,22,25,80,2,1,4,4,4,4,4,4
40,20,1,5,24,24,24,23,95,2.5,1,2,2,2,3,1,2
41,19,0,6,22,22,26,24,94,3.875,1,8,8,8,8,8,8
42,19,1,5,9,15,21,16,61,3.25,1,1,2,2,3,2,2
43,18,0,5,10,26,16,21,73,3.375,1,4,8,7,6,8,8
44,18,1,5,25,22,27,25,99,4.375,1,3,3,3,4,3,2
45,19,1,7,15,26,25,21,87,3.125,1,4,2,6,3,4,6
46,18,0,5,13,21,20,23,77,3.75,1,8,8,8,8,6,8
47,19,1,6,7,22,19,15,63,2.75,1,1,3,4,6,6,5
48,18,1,3,22,24,27,28,101,2.625,1,4,1,6,3,3,4
49,18,1,7,22,16,26,25,89,4.75,1,2,2,4,4,3,1
50,19,1,5,16,21,18,21,76,3,1,4,3,5,5,6,6
51,19,0,NA,9,15,22,25,71,2.5,1,1,3,2,1,2,2
52,18,0,6,13,28,24,19,84,1.75,1,4,2,3,3,4,5
53,18,0,2,24,24,24,24,96,4.375,1,2,4,4,5,4,2
101,18,0,NA,23,25,28,27,103,3.625,1,6,5,5,5,3,5
102,18,0,2,9,12,17,18,56,2.875,1,1,1,1,6,2,2
103,19,0,NA,28,28,28,28,112,3.875,1,1,2,2,2,2,3
104,19,1,5,28,28,28,26,110,4.25,1,3,3,4,4,2,4
105,19,1,5,26,25,28,26,105,3.25,1,5,5,6,6,6,6
106,18,1,5,20,20,25,24,89,3,1,4,2,2,2,1,4
107,18,1,5,9,17,20,25,71,3.375,1,7,7,7,7,7,7
108,19,1,NA,24,23,23,27,97,4.25,1,1,1,2,1,1,2
109,18,0,5,9,21,20,22,72,2,1,3,4,7,8,4,6
110,19,0,2,15,20,19,18,72,2.75,1,1,3,3,1,1,1
111,19,1,NA,15,23,27,18,83,1.75,1,4,2,4,3,3,6
112,18,1,5,27,27,28,25,107,3.75,1,8,8,8,8,8,8
114,19,0,2,16,17,17,18,68,2.5,1,4,2,2,2,1,1
115,19,1,NA,14,19,22,25,80,4.375,1,2,2,2,5,1,2
116,18,1,4,20,17,24,24,85,3.875,1,1,2,4,5,2,5
117,18,0,NA,10,15,15,20,60,3,1,1,1,1,2,2,2
118,19,0,5,16,21,21,21,79,4,1,1,3,4,4,2,3
119,19,0,4,12,18,19,22,71,2.5,1,2,2,3,4,2,3
120,18,0,NA,21,24,25,23,93,3.375,1,8,2,2,3,1,3
121,18,1,NA,18,19,20,19,76,3.125,1,4,2,2,3,2,2
122,18,0,NA,6,7,18,18,49,2.25,1,3,1,1,3,2,3
123,18,1,5,10,21,16,14,61,2.5,1,2,1,4,2,1,3
124,19,0,NA,16,16,16,16,64,3.125,1,4,4,3,1,1,4
125,18,1,5,14,14,20,20,68,4,1,8,8,7,7,7,7
126,18,1,5,21,24,24,23,92,2.875,1,4,4,4,4,4,4
127,19,1,5,18,25,27,27,97,3.5,1,4,3,5,2,1,2
128,19,1,4,18,22,27,25,92,3.75,1,8,8,8,8,8,8
130,18,0,5,13,15,18,24,70,3.375,1,3,4,3,4,2,3
131,19,1,NA,22,27,27,22,98,3.75,1,4,2,4,6,2,6
132,19,0,2,15,20,19,20,74,2.625,1,8,8,8,8,4,4
133,19,1,2,11,16,18,22,67,2.125,1,2,2,2,4,4,4
134,18,1,2,13,16,20,21,70,2.875,1,6,3,6,5,5,6
136,19,0,4,24,23,28,27,102,3.25,1,1,1,1,1,1,1
137,18,0,6,6,13,17,18,54,1.5,1,1,1,2,2,1,2
138,19,0,5,18,17,18,21,74,3,1,3,2,2,2,2,2
139,19,1,5,20,24,24,24,92,3.625,1,7,4,4,4,3,3
140,18,0,NA,13,21,19,24,77,2.375,1,4,4,5,4,2,5
141,18,1,NA,28,28,27,28,111,2.875,1,8,6,6,7,5,5
142,18,1,2,16,20,21,23,80,3.25,1,4,4,5,6,4,8
143,18,1,2,13,16,20,25,74,3.25,1,4,3,6,6,5,8
145,19,0,NA,5,9,11,16,41,2.375,1,2,2,4,1,1,2
146,18,1,7,14,21,22,25,82,3.5,1,2,5,5,6,4,6
147,19,1,6,14,14,25,16,69,3.5,1,3,3,4,5,4,2
201,18,0,NA,8,16,22,18,64,2,1,0,1,0,0,1,2
202,19,0,NA,18,19,25,26,88,3.5,1,2,3,3,3,3,3
203,18,1,2,17,20,20,13,70,4,1,1,2,1,4,1,1
204,18,1,2,15,12,27,22,76,2.25,1,2,4,3,4,2,6
205,18,1,6,10,18,21,19,68,2.125,1,1,8,6,7,7,8
206,18,0,NA,22,23,27,25,97,3.875,1,4,3,3,4,2,8
207,19,1,4,16,20,24,19,79,2.5,1,1,1,1,2,3,1
208,18,0,5,11,20,26,21,78,3.75,1,1,1,1,1,1,1
209,18,0,5,14,13,21,28,76,4.875,1,2,2,4,2,2,2
210,18,1,NA,15,17,21,23,76,4,1,1,2,3,1,2,1
211,18,1,5,23,28,25,28,104,3.25,1,1,3,5,6,4,5
212,18,0,4,18,21,23,22,84,3,1,3,2,2,2,3,4
213,18,0,6,15,22,23,23,83,2.75,1,0,3,3,4,1,4
214,18,0,5,8,19,24,23,74,4.125,1,2,3,6,6,3,5
215,18,0,6,20,22,23,25,90,3.75,1,4,5,8,8,7,7
216,18,0,4,24,24,25,25,98,3.375,1,8,8,8,8,8,8
217,18,0,2,21,28,26,24,99,3.375,1,4,2,3,6,2,5
218,18,0,2,16,16,22,25,79,3,1,2,2,8,4,4,6
219,18,0,NA,11,14,24,21,70,2.625,1,1,2,5,3,4,3
220,18,0,6,24,23,28,28,103,3.25,1,4,2,6,5,5,4
221,18,1,2,14,21,25,22,82,2.375,1,2,3,3,4,2,3
222,18,1,5,15,18,20,25,78,3.375,1,2,1,5,7,2,6
223,19,NA,5,13,26,16,20,75,4.75,1,1,2,8,3,2,3
224,19,0,5,5,14,26,21,66,2.125,1,1,1,2,6,7,7
225,18,1,2,20,19,28,24,91,3,1,5,3,6,7,7,8
226,18,1,2,26,23,25,25,99,2.625,1,3,4,5,3,4,8
227,18,1,2,5,20,25,16,66,1.125,1,1,1,1,2,1,1
228,18,0,5,25,26,27,28,106,4.625,1,2,2,4,5,2,4
229,19,1,5,21,22,21,25,89,3.75,1,4,4,4,4,1,5
230,18,1,6,18,18,24,24,84,3.125,1,1,1,1,4,4,5
231,18,0,5,10,9,16,20,55,3.875,1,1,1,3,1,1,3
232,18,1,NA,14,24,24,22,84,2.875,1,2,3,1,8,3,1
233,18,1,7,16,19,23,20,78,3.375,1,1,3,3,3,1,1
234,18,1,NA,15,17,26,24,82,3,1,8,8,8,8,8,8
235,18,0,5,18,20,16,18,72,2.375,1,2,4,4,3,2,3
236,18,0,5,11,18,20,20,69,3.25,1,1,2,4,2,2,2
237,18,1,2,11,25,26,25,87,2.375,1,4,5,5,4,2,4
238,18,0,2,18,23,23,28,92,2.75,1,3,2,3,2,1,3
239,18,0,5,5,16,14,19,54,4.625,1,1,1,4,3,4,4
240,18,1,7,12,18,21,24,75,2.875,1,2,2,2,2,1,2
241,18,0,NA,6,15,10,19,50,2.125,1,1,2,5,8,8,8
242,18,1,4,12,20,22,25,79,3.625,1,4,4,5,3,4,8
243,18,0,5,11,24,23,25,83,4.375,1,2,3,6,6,4,3
244,18,1,6,13,23,22,27,85,4.375,1,1,3,3,3,1,3
245,18,1,NA,22,22,28,21,93,3.25,1,2,3,2,2,1,2
246,18,1,2,13,18,20,20,71,3.25,1,2,7,5,5,1,4
301,18,0,7,13,19,24,17,73,1.375,1,3,2,5,6,5,4
302,18,0,5,13,17,19,19,68,2.625,1,8,8,8,8,8,8
303,18,0,2,21,12,23,24,80,3.375,1,1,3,1,1,3,6
304,18,1,6,16,22,21,23,82,3.75,1,2,3,3,4,3,3
305,18,0,4,20,23,24,26,93,2.5,1,5,2,2,2,3,3
306,18,0,NA,11,20,24,23,78,4.875,1,3,5,5,7,4,8
307,18,0,4,11,15,22,27,75,3,1,5,3,3,7,4,7
308,18,1,5,22,27,28,24,101,2.625,1,4,5,7,8,6,7
309,18,0,2,16,22,21,20,79,3.125,1,7,8,8,7,7,8
310,18,1,2,16,17,21,16,70,3.125,1,3,1,2,2,2,2
311,18,1,5,17,16,26,23,82,2.875,1,7,7,8,8,8,8
312,18,0,5,16,22,20,23,81,4.125,1,4,3,6,6,6,8
313,18,1,2,16,16,16,16,64,3.25,1,0,5,5,5,3,3
314,18,0,6,8,21,20,25,74,4.625,1,3,5,7,8,6,8
315,18,1,5,16,24,22,23,85,2.875,1,8,6,8,8,6,8
316,18,0,5,7,11,23,24,65,3.375,1,8,8,8,8,8,8
317,18,1,5,12,15,16,24,67,3,1,4,3,3,8,5,4
318,18,1,NA,24,27,27,17,95,2,1,1,1,3,1,2,2
319,19,1,5,21,22,27,19,89,3.75,1,4,4,4,3,3,3
320,19,0,NA,22,23,27,25,97,4,1,5,4,4,5,4,3
321,18,0,5,21,26,22,22,91,4,1,3,2,6,6,3,5
322,18,0,5,15,14,14,20,63,2.125,1,1,1,1,2,1,2
323,18,1,2,10,13,18,19,60,2.625,1,5,3,2,4,5,2
324,18,0,6,17,21,27,24,89,1.875,1,1,1,1,1,1,1
325,18,0,8,24,22,24,24,94,3,1,2,3,4,2,1,1
326,19,1,7,13,18,21,26,78,3.5,1,3,3,3,3,6,3
327,18,1,5,24,26,26,24,100,3.625,1,4,3,4,5,3,2
328,19,0,7,12,13,13,23,61,2.75,1,1,2,3,3,3,5
329,18,1,NA,18,23,24,25,90,3.25,1,6,5,5,6,5,5
330,19,1,NA,25,27,27,23,102,4.125,1,8,7,8,7,5,7
331,18,0,6,12,27,19,22,80,3.5,1,4,2,5,4,4,4
332,18,0,2,12,16,18,17,63,3.25,1,5,2,5,4,2,3
333,18,1,5,20,24,25,25,94,3.625,1,8,5,7,5,5,8
334,19,1,5,8,8,18,20,54,2.75,1,1,2,1,2,2,1
335,18,0,NA,14,17,18,18,67,2.25,1,1,4,7,4,3,6
336,18,0,5,15,20,20,19,74,2.75,1,5,4,8,8,6,8
337,18,NA,NA,22,24,25,23,94,2.125,1,4,2,3,2,1,2
338,18,0,NA,20,20,25,26,91,3.875,1,8,8,8,8,8,8
339,18,1,NA,22,15,25,27,89,3.625,1,1,2,5,1,2,2
340,18,0,NA,16,21,24,24,85,3.25,1,3,8,8,8,4,8
341,18,0,6,12,19,23,26,80,2.375,1,0,3,2,2,0,1
342,18,0,5,18,17,12,13,60,3.5,1,0,0,0,0,0,0
343,18,1,5,21,17,20,16,74,3.625,1,1,4,3,6,5,3
344,18,0,NA,12,22,25,26,85,5,1,3,4,5,8,4,6
345,18,1,NA,14,22,28,26,90,2.875,1,6,2,4,8,7,6
346,18,1,5,13,25,26,26,90,3.375,1,2,4,4,6,4,5
347,18,0,7,4,10,15,23,52,3.125,1,2,1,1,1,3,2
348,18,1,5,21,24,26,28,99,5,1,4,2,4,6,3,8
